Area,time,Temperature,Salinity,Oxygen Electrode,Oxygen Saturation
San Pablo Bay,2007-02,10.085,22.25,8.9,90.0
South Bay,2007-02,10.79,27.88,8.4,90.0
Suisun Bay,2007-02,9.28,5.91,10.3,90.5
San Pablo Bay,2007-03,12.07,17.33,9.05,94.0
South Bay,2007-03,13.85,25.6,8.5,96.0
Suisun Bay,2007-03,11.850000000000001,0.35500000000000004,10.0,92.5
San Pablo Bay,2007-04,14.59,20.41,8.2,93.0
South Bay,2007-04,14.67,25.865000000000002,7.8,91.0
Suisun Bay,2007-04,15.594999999999999,3.4000000000000004,9.350000000000001,95.0
South Bay,2007-06,20.28,29.35,6.6,86.0
San Pablo Bay,2007-07,20.525,21.25,7.1,93.0
South Bay,2007-07,21.575,30.63,6.7,93.0
Suisun Bay,2007-07,20.935000000000002,7.4,8.0,95.0
South Bay,2007-08,20.73,31.42,7.1,103.0
San Pablo Bay,2007-09,19.939999999999998,27.04,6.65,88.5
South Bay,2007-09,19.0,31.71,6.4,88.0
Suisun Bay,2007-09,20.555,9.57,7.8,95.0
San Pablo Bay,2007-10,15.98,27.03,7.5,92.0
South Bay,2007-10,16.85,31.145000000000003,7.1,91.0
Suisun Bay,2007-10,16.59,12.79,8.1,92.0
San Pablo Bay,2007-11,14.95,27.13,7.6,90.0
South Bay,2007-11,15.72,30.76,6.8,86.0
Suisun Bay,2007-11,15.465,12.955,8.3,92.0
San Pablo Bay,2007-12,11.4,27.52,8.2,92.0
South Bay,2007-12,11.594999999999999,30.61,7.9,90.0
Suisun Bay,2007-12,11.14,14.84,9.05,92.0
South Bay,2008-01,9.71,28.625,8.4,92.0
San Pablo Bay,2008-02,10.045,12.434999999999999,9.2,90.5
South Bay,2008-02,10.67,24.665,8.8,96.0
Suisun Bay,2008-02,9.11,0.125,9.8,86.5
San Pablo Bay,2008-03,13.295,15.344999999999999,8.6,94.0
South Bay,2008-03,13.75,24.07,8.5,99.0
Suisun Bay,2008-03,13.25,0.48,9.1,90.0
South Bay,2008-04,15.254999999999999,26.65,9.3,113.0
San Pablo Bay,2008-05,15.364999999999998,21.015,7.85,91.0
South Bay,2008-05,16.79,28.37,6.8,86.0
Suisun Bay,2008-05,16.759999999999998,3.7800000000000002,8.7,93.5
San Pablo Bay,2008-06,18.18,23.6,7.5,94.0
South Bay,2008-06,19.78,29.84,6.6,89.0
Suisun Bay,2008-06,19.715,6.484999999999999,8.0,95.0
San Pablo Bay,2008-07,20.060000000000002,26.189999999999998,7.1,93.0
South Bay,2008-07,22.305,30.65,6.0,87.0
Suisun Bay,2008-07,21.314999999999998,9.02,7.7,94.0
San Pablo Bay,2008-08,19.755000000000003,24.82,7.2,91.0
South Bay,2008-08,20.79,31.67,6.8,90.0
Suisun Bay,2008-08,20.585,8.995000000000001,8.1,95.0
San Pablo Bay,2008-09,19.299999999999997,26.35,7.1,89.0
South Bay,2008-09,20.92,32.09,6.4,85.0
Suisun Bay,2008-09,19.05,10.4,8.350000000000001,94.0
San Pablo Bay,2008-10,16.564999999999998,28.695,7.05,87.0
South Bay,2008-10,17.83,32.05,6.7,88.0
Suisun Bay,2008-10,17.21,15.489999999999998,7.95,92.0
San Pablo Bay,2008-11,15.23,25.875,7.8,91.0
South Bay,2008-11,15.93,31.33,7.1,87.0
Suisun Bay,2008-11,15.475000000000001,11.43,8.350000000000001,90.0
San Pablo Bay,2008-12,10.78,26.835,8.5,90.0
South Bay,2008-12,11.56,30.67,8.0,89.0
Suisun Bay,2008-12,9.915,12.99,9.6,91.0
San Pablo Bay,2009-01,10.05,25.605,8.95,93.0
South Bay,2009-01,10.38,29.79,8.3,90.0
Suisun Bay,2009-01,9.125,10.985,10.1,93.0
San Pablo Bay,2009-02,10.945,25.555,8.5,92.0
South Bay,2009-02,11.13,29.015,8.5,93.0
Suisun Bay,2009-02,10.36,9.31,9.850000000000001,92.0
San Pablo Bay,2009-03,12.295,11.559999999999999,9.0,88.5
South Bay,2009-03,12.79,24.93,8.5,93.0
Suisun Bay,2009-03,11.98,0.185,9.4,85.0
San Pablo Bay,2009-04,13.614999999999998,17.16,8.8,94.0
South Bay,2009-04,13.52,25.84,8.0,91.0
Suisun Bay,2009-04,14.29,3.175,9.55,94.0
San Pablo Bay,2009-05,17.21,20.525,8.0,95.5
South Bay,2009-05,15.915,27.58,7.4,91.0
Suisun Bay,2009-05,19.490000000000002,3.3049999999999997,8.7,98.0
San Pablo Bay,2009-06,19.39,21.17,7.5,91.0
South Bay,2009-06,19.24,28.61,6.7,89.0
Suisun Bay,2009-06,20.5,4.23,8.2,92.0
San Pablo Bay,2009-07,19.235,25.65,7.35,93.5
South Bay,2009-07,21.25,29.89,6.8,91.0
Suisun Bay,2009-07,21.465,8.120000000000001,8.1,95.0
San Pablo Bay,2009-08,18.96,26.505000000000003,7.225,90.25
South Bay,2009-08,21.48,30.95,6.5,89.0
Suisun Bay,2009-08,19.785,8.435,8.05,93.0
San Pablo Bay,2009-09,19.9,26.05,7.1,87.0
South Bay,2009-09,21.05,31.39,6.4,83.0
Suisun Bay,2009-09,21.450000000000003,9.625,8.0,91.0
San Pablo Bay,2009-10,15.2,26.384999999999998,7.75,91.0
South Bay,2009-10,15.74,30.19,7.5,92.0
Suisun Bay,2009-10,15.76,5.57,8.850000000000001,92.0
San Pablo Bay,2009-11,13.855,25.375,7.7,88.0
South Bay,2009-11,14.45,30.54,7.2,86.5
Suisun Bay,2009-11,13.95,11.02,8.8,90.0
San Pablo Bay,2009-12,11.844999999999999,26.54,8.05,88.5
South Bay,2009-12,12.715,30.465,7.6,88.0
Suisun Bay,2009-12,11.29,12.665,9.4,91.0
San Pablo Bay,2010-01,10.254999999999999,23.7,8.8,91.0
South Bay,2010-01,10.58,27.925,8.3,90.0
Suisun Bay,2010-01,9.355,8.2,9.7,89.5
San Pablo Bay,2010-02,12.5,16.185,8.7,89.0
South Bay,2010-02,12.33,24.39,8.5,93.0
Suisun Bay,2010-02,12.29,2.41,9.2,87.0
San Pablo Bay,2010-03,14.515,20.475,8.2,93.0
South Bay,2010-03,14.32,22.96,8.5,96.0
Suisun Bay,2010-03,14.955,4.345000000000001,9.149999999999999,94.0
San Pablo Bay,2010-04,13.565,19.525,8.55,95.0
South Bay,2010-04,14.0,24.69,8.1,94.0
Suisun Bay,2010-04,14.205,3.665,9.6,98.0
San Pablo Bay,2010-05,15.455,15.66,8.05,91.5
South Bay,2010-05,16.32,24.47,7.8,94.0
Suisun Bay,2010-05,16.61,1.9949999999999999,9.2,96.0
San Pablo Bay,2010-06,19.04,13.765,7.7,89.0
South Bay,2010-06,19.57,25.68,7.0,90.0
Suisun Bay,2010-06,20.215,0.185,8.4,92.0
San Pablo Bay,2010-07,18.59,20.285,7.65,93.0
South Bay,2010-07,20.715,27.265,6.85,90.0
Suisun Bay,2010-07,19.7,3.52,8.6,96.0
San Pablo Bay,2010-08,18.375,25.585,7.7,93.5
South Bay,2010-08,19.73,28.79,6.9,90.0
Suisun Bay,2010-08,19.3,6.895,8.649999999999999,96.0
San Pablo Bay,2010-09,18.6,25.604999999999997,7.3,93.0
South Bay,2010-09,20.13,29.855,6.8,89.5
Suisun Bay,2010-09,19.525,8.82,8.4,99.0
San Pablo Bay,2010-10,15.97,26.55,7.75,91.0
South Bay,2010-10,19.31,30.48,6.9,89.0
Suisun Bay,2010-10,16.845,12.495000000000001,8.5,92.0
South Bay,2010-11,15.65,30.365000000000002,7.4,87.0
San Pablo Bay,2010-12,11.72,23.81,8.350000000000001,90.0
South Bay,2010-12,12.54,28.725,7.75,88.0
Suisun Bay,2010-12,11.684999999999999,2.9299999999999997,9.3,88.0
San Pablo Bay,2011-01,8.65,12.01,10.0,89.0
South Bay,2011-01,9.62,22.42,8.9,89.0
Suisun Bay,2011-01,7.83,0.09,10.3,84.0
San Pablo Bay,2011-02,11.065000000000001,16.02,9.1,90.0
South Bay,2011-02,11.99,22.41,8.9,95.0
Suisun Bay,2011-02,10.280000000000001,0.295,10.649999999999999,93.0
San Pablo Bay,2011-03,10.89,1.67,10.0,89.0
South Bay,2011-03,12.55,19.08,9.1,96.0
Suisun Bay,2011-03,10.91,0.07,10.1,89.0
San Pablo Bay,2011-04,14.864999999999998,5.140000000000001,8.75,88.5
South Bay,2011-04,14.56,14.955,8.6,92.0
Suisun Bay,2011-04,15.58,0.09,9.5,94.0
South Bay,2011-05,15.745000000000001,21.0,8.3,95.0
San Pablo Bay,2011-06,17.07,15.655000000000001,8.1,91.0
South Bay,2011-06,19.045,22.275,7.25,89.5
Suisun Bay,2011-06,18.729999999999997,0.07500000000000001,8.9,96.0
San Pablo Bay,2011-07,17.755000000000003,19.75,7.9,93.0
South Bay,2011-07,20.89,23.5,7.0,89.0
Suisun Bay,2011-07,21.22,0.43500000000000005,8.25,94.0
San Pablo Bay,2011-08,19.310000000000002,19.21,7.6,93.0
South Bay,2011-08,20.35,25.87,7.0,91.0
Suisun Bay,2011-08,21.16,2.76,8.3,95.5
San Pablo Bay,2011-09,18.645000000000003,22.384999999999998,7.8,97.0
South Bay,2011-09,20.14,27.555,7.1,94.0
Suisun Bay,2011-09,20.655,4.425,8.3,97.0
San Pablo Bay,2011-10,18.52,21.39,7.7,95.5
South Bay,2011-10,19.22,27.87,6.8,89.0
Suisun Bay,2011-10,18.979999999999997,3.34,8.5,96.0
San Pablo Bay,2011-11,13.82,25.0,7.7,89.0
South Bay,2011-11,14.87,27.98,7.2,89.0
Suisun Bay,2011-11,14.0,9.79,8.9,92.5
San Pablo Bay,2011-12,10.78,26.119999999999997,8.05,90.0
South Bay,2011-12,11.09,28.12,7.699999999999999,89.5
Suisun Bay,2011-12,9.815000000000001,8.285,9.325,92.75
San Pablo Bay,2012-01,10.65,27.005000000000003,8.4,91.0
South Bay,2012-01,11.05,27.96,8.2,90.0
Suisun Bay,2012-01,9.87,13.665,9.75,93.0
San Pablo Bay,2012-02,11.274999999999999,26.295,8.5,91.5
South Bay,2012-02,12.01,27.56,8.2,91.5
Suisun Bay,2012-02,10.645,8.29,9.6,91.75
San Pablo Bay,2012-03,11.565000000000001,21.54,8.6,92.0
South Bay,2012-03,12.01,27.07,8.2,93.0
Suisun Bay,2012-03,12.07,1.255,9.45,90.5
San Pablo Bay,2012-04,12.855,19.64,8.2,87.0
South Bay,2012-04,15.29,25.27,7.7,91.0
Suisun Bay,2012-04,13.57,4.455,9.0,88.0
San Pablo Bay,2012-05,17.88,18.29,7.8,92.0
South Bay,2012-05,17.835,26.229999999999997,7.65,93.0
Suisun Bay,2012-05,18.275,6.025,8.5,94.0
San Pablo Bay,2012-06,19.28,21.689999999999998,7.6,94.0
South Bay,2012-06,19.2,27.69,7.0,90.0
Suisun Bay,2012-06,20.79,4.31,8.1,95.0
San Pablo Bay,2012-07,18.990000000000002,22.77,7.5,92.0
South Bay,2012-07,20.36,29.395,6.8,89.5
Suisun Bay,2012-07,20.48,6.62,8.149999999999999,94.0
San Pablo Bay,2012-08,19.395,20.77,7.5,93.0
South Bay,2012-08,20.23,30.72,6.5,87.0
Suisun Bay,2012-08,20.54,2.73,8.4,96.0
San Pablo Bay,2012-09,18.365000000000002,27.240000000000002,7.5,96.0
South Bay,2012-09,19.36,31.08,6.7,89.0
Suisun Bay,2012-09,19.17,11.385000000000002,8.3,98.0
San Pablo Bay,2012-10,18.174999999999997,25.455,7.2,90.0
South Bay,2012-10,19.29,31.22,6.8,89.0
Suisun Bay,2012-10,18.92,11.645,7.95,93.0
San Pablo Bay,2012-11,16.915,25.42,7.5,91.0
South Bay,2012-11,17.45,30.634999999999998,6.5,84.0
Suisun Bay,2012-11,17.490000000000002,8.495,8.0,89.5
San Pablo Bay,2012-12,14.285,19.325000000000003,8.2,89.5
South Bay,2012-12,14.504999999999999,28.96,7.5,88.0
Suisun Bay,2012-12,13.57,1.4,8.5,82.0
San Pablo Bay,2013-01,8.719999999999999,15.955000000000002,9.25,87.0
South Bay,2013-01,9.085,22.7,8.8,88.0
Suisun Bay,2013-01,7.07,0.305,10.6,86.5
San Pablo Bay,2013-02,11.315000000000001,22.94,8.5,91.0
South Bay,2013-02,11.57,24.62,9.1,99.0
Suisun Bay,2013-02,11.3,6.68,9.95,95.0
San Pablo Bay,2013-03,13.51,23.825,8.0,91.0
South Bay,2013-03,13.85,25.95,8.1,92.0
Suisun Bay,2013-03,14.67,5.18,9.399999999999999,97.0
San Pablo Bay,2013-04,14.805,25.16,7.6,89.0
South Bay,2013-04,14.715,27.215,7.7,91.0
Suisun Bay,2013-04,17.295,8.005,8.399999999999999,93.0
South Bay,2013-05,18.3,28.15,7.0,90.0
South Bay,2013-06,19.86,29.97,6.9,90.0
San Pablo Bay,2013-07,19.27,23.4,7.2,93.0
South Bay,2013-07,21.17,30.91,6.5,89.0
Suisun Bay,2013-07,20.384999999999998,6.195,8.1,95.0
San Pablo Bay,2013-08,20.1,26.525,7.2,93.0
South Bay,2013-08,21.955,32.0,6.6,92.0
Suisun Bay,2013-08,20.96,6.65,8.2,95.0
San Pablo Bay,2013-09,18.305,26.465,7.4,92.0
South Bay,2013-09,19.115000000000002,32.18,7.0,93.0
Suisun Bay,2013-09,19.384999999999998,8.15,8.2,92.0
San Pablo Bay,2013-10,15.765,27.740000000000002,7.35,88.0
South Bay,2013-10,17.18,32.03,6.9,88.0
Suisun Bay,2013-10,16.36,11.405000000000001,8.75,94.0
San Pablo Bay,2013-11,13.85,27.68,7.7,88.0
South Bay,2013-11,13.625,31.37,7.5,87.0
Suisun Bay,2013-11,14.145,13.16,8.75,91.0
San Pablo Bay,2013-12,12.425,29.305,7.7,87.0
South Bay,2013-12,13.54,31.25,7.5,87.0
Suisun Bay,2013-12,12.485,17.35,8.7,90.5
San Pablo Bay,2014-01,10.75,27.47,8.5,91.0
South Bay,2014-01,11.43,30.6,8.1,90.0
Suisun Bay,2014-01,10.055,15.634999999999998,9.75,93.5
San Pablo Bay,2014-02,11.86,25.045,8.7,93.0
South Bay,2014-02,13.12,29.765,8.2,93.0
Suisun Bay,2014-02,11.705,9.585,9.7,93.0
